,Never,Rarely,Sometimes,Frequently,Always,Always-Freq,Never-Rare-Some,Rural Code,Urban Code,Per Less than HS,Per Only HS,Per Some College,Per Bachelors or Higher,Population,Unemployment Rate,Per of Median HH Income,Per in Poverty,Per of Cases,Per of Deaths
1521,0.042,0.117,0.178,0.216,0.447,0.663,0.337,1,1,0.112,0.318,0.369,0.202,225081,0.031,1.19876251220703,0.084,0.006295511393676,0.000111071125506
50,0.056,0.095,0.123,0.212,0.513,0.725,0.274,2,2,0.144,0.255,0.28,0.321,226486,0.031,1.01815689086914,0.158,0.02732619234743,0.000635800888355
836,0.039,0.081,0.115,0.201,0.563,0.764,0.235,2,2,0.053,0.271,0.346,0.33,226706,0.029,1.04814987182617,0.111,0.009104302488686,0.000383756936296
2295,0.05,0.074,0.107,0.171,0.597,0.768,0.231,2,2,0.112,0.297,0.353,0.238,227907,0.025,1.21877220153809,0.107,0.016752447270159,0.00025448976995
1833,0.016,0.025,0.033,0.153,0.774,0.927,0.074,2,2,0.114,0.329,0.31,0.247,228671,0.043,0.784530410766602,0.146,0.009100410633618,0.000481040446755
2065,0.046,0.099,0.099,0.231,0.525,0.756,0.244,2,2,0.091,0.38,0.288,0.241,228683,0.057,0.817968139648437,0.184,0.010420538474657,0.001106334970243
2513,0.012,0.038,0.067,0.347,0.537,0.884,0.117,3,2,0.133,0.196,0.262,0.408,229211,0.027,0.850524673461914,0.2,0.017054155341585,0.000196325656273
2955,0.042,0.028,0.061,0.122,0.747,0.869,0.131,3,2,0.077,0.233,0.351,0.339,229247,0.05,0.872664413452148,0.127,0.004013138667027,0.000209381147845
556,0.113,0.095,0.17,0.24,0.381,0.621,0.378,2,2,0.154,0.32,0.343,0.183,229849,0.032,0.964491195678711,0.101,0.020787560528869,0.000160975248968
1846,0.02,0.012,0.062,0.156,0.751,0.907,0.094,2,2,0.059,0.245,0.282,0.414,229863,0.034,1.23644462585449,0.06,0.003158403048773,2.17520871127585E-05
2058,0.067,0.039,0.104,0.246,0.544,0.79,0.21,1,1,0.08,0.319,0.322,0.279,230149,0.037,1.10793128967285,0.083,0.004449291545912,0.00014773038336
2597,0,0.007,0.022,0.115,0.855,0.97,0.029,1,1,0.105,0.223,0.297,0.374,230191,0.028,1.13812377929688,0.112,0.018667106880808,0.000139014991898
2910,0.06,0.031,0.092,0.275,0.541,0.816,0.183,1,1,0.15,0.223,0.242,0.385,230436,0.033,0.666252593994141,0.192,0.012741064764186,0.000169244388898
1414,0.019,0.096,0.115,0.183,0.588,0.771,0.23,2,2,0.13,0.248,0.331,0.291,231840,0.052,0.974851913452148,0.201,0.022325741890959,0.000457211870255
2702,0.108,0.091,0.104,0.168,0.529,0.697,0.303,3,2,0.148,0.242,0.352,0.258,232751,0.033,0.929642105102539,0.129,0.009924769388746,7.73358653668513E-05
312,0.005,0.001,0.035,0.103,0.856,0.959,0.041,2,2,0.123,0.328,0.284,0.265,234225,0.038,0.921689300537109,0.121,0.024036716832106,0.000815455224677
1927,0.019,0.032,0.032,0.25,0.667,0.917,0.083,2,2,0.071,0.216,0.321,0.393,234473,0.036,0.997630157470703,0.13,0.009903059200846,8.10327841585172E-05
455,0.103,0.048,0.091,0.181,0.578,0.759,0.242,1,1,0.096,0.311,0.31,0.283,234561,0.035,1.17719131469727,0.081,0.012593738942109,0.000174794616326
2098,0.062,0.044,0.085,0.162,0.647,0.809,0.191,1,1,0.065,0.259,0.253,0.423,234602,0.035,1.56113723754883,0.045,0.006730547906667,0.00014918883897
104,0.031,0.073,0.081,0.176,0.639,0.815,0.185,3,2,0.097,0.257,0.394,0.252,235099,0.044,0.874490127563477,0.12,0.007562771428207,0.000255211634248
