,Never,Rarely,Sometimes,Frequently,Always,Always-Freq,Never-Rare-Some,Rural Code,Urban Code,Per Less than HS,Per Only HS,Per Some College,Per Bachelors or Higher,Population,Unemployment Rate,Per of Median HH Income,Per in Poverty,Per of Cases,Per of Deaths
347,0.047,0.062,0.074,0.185,0.632,0.817,0.183,1,1,0.107,0.329,0.337,0.227,367118,0.032,0.974019393920898,0.109,0.012562718254076,0.000138919911309
1758,0.017,0.014,0.05,0.162,0.757,0.919,0.081,2,2,0.12,0.245,0.216,0.42,367430,0.032,0.926433181762695,0.119,0.021957923958305,0.001673788204556
1300,0.019,0.022,0.046,0.18,0.733,0.913,0.087,2,2,0.048,0.149,0.251,0.552,367601,0.029,1.28906951904297,0.13,0.007872666287633,0.000331881578124
2431,0.116,0.116,0.129,0.229,0.411,0.64,0.361,2,2,0.108,0.275,0.305,0.312,367804,0.032,1.03131301879883,0.127,0.015086839729856,0.000130504290329
2254,0.014,0.004,0.053,0.103,0.826,0.929,0.071,2,2,0.114,0.329,0.262,0.294,369318,0.045,1.03121894836426,0.115,0.013072744897351,0.000907077369638
2091,0.065,0.11,0.102,0.198,0.525,0.723,0.277,2,2,0.087,0.378,0.308,0.228,370606,0.045,0.947516326904297,0.13,0.00448184864789,0.000356173402481
44,0.062,0.05,0.123,0.177,0.589,0.766,0.235,2,2,0.089,0.208,0.286,0.417,372909,0.025,1.32524002075195,0.115,0.013169432757053,8.0448581289269E-05
2512,0.021,0.042,0.075,0.17,0.691,0.861,0.138,1,1,0.123,0.253,0.327,0.297,374264,0.042,1.30697647094727,0.086,0.017458264754291,0.00019237757305
362,0.025,0.022,0.058,0.176,0.72,0.896,0.105,1,1,0.132,0.319,0.343,0.205,375751,0.033,0.882969055175781,0.134,0.023017902813299,0.000210245614782
689,0.07,0.14,0.099,0.228,0.464,0.692,0.309,2,2,0.107,0.287,0.324,0.282,379299,0.031,0.986479721069336,0.105,0.009446373441533,0.000440285895824
2200,0.031,0.036,0.077,0.137,0.719,0.856,0.144,2,2,0.086,0.235,0.383,0.296,382067,0.041,0.854484329223633,0.139,0.00133746175409,7.85202595356312E-06
1896,0.02,0.022,0.068,0.183,0.706,0.889,0.11,2,2,0.112,0.256,0.293,0.338,382295,0.037,0.924478988647461,0.152,0.012772858656273,0.000125557488327
2024,0.047,0.072,0.106,0.244,0.531,0.775,0.225,1,1,0.097,0.328,0.278,0.298,383134,0.038,1.16876190185547,0.117,0.006921860236888,0.000153993119901
324,0.04,0.023,0.067,0.212,0.658,0.87,0.13,2,2,0.136,0.254,0.248,0.362,384902,0.031,1.29083755493164,0.094,0.025102493621753,0.000322159926423
1836,0.023,0.008,0.042,0.18,0.746,0.926,0.073,1,1,0.103,0.297,0.303,0.298,384940,0.038,1.1547794342041,0.123,0.028843456123032,0.001049514210007
1137,0.019,0.034,0.087,0.206,0.654,0.86,0.14,1,1,0.138,0.229,0.264,0.368,390144,0.049,0.882288513183594,0.235,0.026285166502625,0.001435367454068
165,0.028,0.027,0.126,0.175,0.644,0.819,0.181,2,2,0.096,0.262,0.302,0.341,391911,0.034,1.07474502563477,0.146,0.012255333481326,0.000196473178859
211,0.012,0.023,0.072,0.201,0.693,0.894,0.107,1,1,0.054,0.182,0.378,0.386,398329,0.031,1.21467742919922,0.066,0.004800052218141,3.76573134268406E-05
1563,0.041,0.05,0.091,0.286,0.532,0.818,0.182,1,1,0.053,0.251,0.318,0.378,402022,0.025,1.55531158447266,0.046,0.008929859559925,0.000241280327942
353,0.074,0.037,0.062,0.201,0.626,0.827,0.173,2,2,0.108,0.304,0.295,0.293,403253,0.031,1.08366836547852,0.113,0.021462952538481,0.000458769060615
3080,0.071,0.165,0.145,0.258,0.361,0.619,0.381,1,1,0.039,0.231,0.292,0.438,404198,0.029,1.41904418945313,0.047,0.008852097239472,0.000133597890143
1244,0.032,0.043,0.104,0.288,0.533,0.821,0.179,2,2,0.096,0.319,0.376,0.209,405813,0.049,0.849333038330078,0.166,0.008592627638839,0.000724471616237
2297,0.036,0.059,0.062,0.186,0.657,0.843,0.157,2,2,0.085,0.227,0.26,0.428,411406,0.023,1.25940383911133,0.117,0.027882432439002,0.000401063669465
48,0.077,0.07,0.102,0.244,0.506,0.75,0.249,2,2,0.138,0.335,0.298,0.229,413210,0.037,0.955979232788086,0.177,0.020623895839888,0.000469494929939
2838,0.014,0.012,0.038,0.173,0.763,0.936,0.064,1,1,0.065,0.124,0.203,0.608,413538,0.023,1.98514465332031,0.031,0.012124641508157,0.000270833635603
2327,0.03,0.016,0.099,0.235,0.62,0.855,0.145,2,2,0.089,0.224,0.309,0.377,415759,0.028,0.938697662353516,0.162,0.018919614488201,0.000319896863327
1743,0.03,0.069,0.066,0.164,0.67,0.834,0.165,2,2,0.082,0.263,0.282,0.373,417025,0.026,1.05461303710938,0.075,0.009004256339548,0.000666626701037
2183,0.016,0.024,0.071,0.168,0.721,0.889,0.111,1,1,0.067,0.213,0.352,0.368,418187,0.034,1.2028825378418,0.072,0.003292785285052,8.84771645220918E-05
2221,0.036,0.012,0.06,0.174,0.719,0.893,0.108,2,2,0.135,0.372,0.247,0.245,421164,0.043,1.0624536895752,0.102,0.012270754385465,0.000866645772193
2523,0.035,0.061,0.034,0.056,0.813,0.869,0.13,2,2,0.328,0.26,0.24,0.173,423163,0.055,0.638514137268066,0.255,0.025926179746339,0.000817651826837
2063,0.078,0.056,0.111,0.189,0.566,0.755,0.245,2,2,0.108,0.297,0.332,0.263,428348,0.047,0.850436096191406,0.18,0.011117129063285,0.000737717930281
1321,0.072,0.076,0.129,0.236,0.488,0.724,0.277,1,1,0.051,0.206,0.324,0.418,429021,0.029,1.19517234802246,0.063,0.008997228573893,0.000237750599621
1127,0.044,0.031,0.066,0.174,0.685,0.859,0.141,1,1,0.146,0.312,0.281,0.261,432493,0.042,1.09393829345703,0.146,0.032728853414969,0.001186146365375
371,0.017,0.031,0.073,0.175,0.704,0.879,0.121,2,2,0.072,0.291,0.291,0.347,433742,0.031,1.11926078796387,0.078,0.013076898248267,0.000278967681248
207,0.023,0.006,0.066,0.141,0.763,0.904,0.095,2,2,0.287,0.204,0.264,0.245,434061,0.062,0.951332321166992,0.126,0.010821059712805,6.9114709683662E-05
1118,0.052,0.031,0.09,0.183,0.642,0.825,0.173,2,2,0.097,0.273,0.283,0.347,440059,0.044,1.10164749145508,0.177,0.024292197182651,0.000740809755056
1750,0.023,0.02,0.043,0.134,0.779,0.913,0.086,1,1,0.064,0.283,0.278,0.375,445349,0.033,1.03097244262695,0.057,0.013140256293379,0.001055352094649
222,0.015,0.02,0.075,0.153,0.737,0.89,0.11,2,2,0.19,0.179,0.292,0.338,446499,0.037,0.92672492980957,0.12,0.014277747542548,0.0001343788004
228,0.043,0.046,0.035,0.148,0.728,0.876,0.124,2,2,0.12,0.233,0.385,0.262,447643,0.037,1.06566528320313,0.09,0.008077865620595,8.26551515381677E-05
2282,0.018,0.024,0.091,0.174,0.693,0.867,0.133,2,2,0.106,0.402,0.25,0.242,449058,0.038,1.08897644042969,0.092,0.005090656440816,0.000193738893417
2915,0.017,0.041,0.062,0.202,0.678,0.88,0.12,1,1,0.068,0.214,0.366,0.352,449974,0.027,1.02641525268555,0.073,0.009284980910008,0.000102228128736
1834,0.019,0.008,0.054,0.163,0.756,0.919,0.081,2,2,0.093,0.253,0.3,0.355,460528,0.039,0.855062637329102,0.138,0.007550029531321,0.000410398499114
102,0.033,0.055,0.096,0.148,0.667,0.815,0.184,1,1,0.146,0.297,0.368,0.19,462789,0.049,1.00064491271973,0.121,0.017617099801421,0.000302513672538
234,0.025,0.039,0.115,0.136,0.685,0.821,0.179,2,2,0.302,0.26,0.295,0.143,466195,0.096,0.705967178344727,0.189,0.02027906777207,0.000381814476775
1212,0.013,0.017,0.055,0.13,0.786,0.916,0.085,2,2,0.147,0.295,0.287,0.272,466372,0.041,0.699159851074219,0.138,0.01593792080142,0.001494515108111
2445,0.036,0.032,0.144,0.209,0.579,0.788,0.212,2,2,0.09,0.258,0.285,0.367,470313,0.029,1.07616821289063,0.134,0.00858364535958,7.44185255351224E-05
2858,0.047,0.027,0.055,0.11,0.761,0.871,0.129,1,1,0.115,0.207,0.277,0.401,470335,0.025,1.38886642456055,0.061,0.018907799759746,0.000365696790585
1735,0.024,0.025,0.06,0.215,0.676,0.891,0.109,2,2,0.117,0.239,0.339,0.305,471519,0.032,1.13379592895508,0.107,0.011225422517438,0.00024177180559
372,0.037,0.039,0.066,0.141,0.717,0.858,0.142,1,1,0.057,0.217,0.343,0.382,471826,0.029,1.18169532775879,0.093,0.013916147054211,0.000178031732037
1843,0.033,0.015,0.046,0.178,0.728,0.906,0.094,1,1,0.115,0.309,0.246,0.33,476143,0.039,1.20247650146484,0.091,0.03096548725908,0.001877587195443
544,0.118,0.078,0.084,0.194,0.526,0.72,0.28,2,2,0.049,0.23,0.344,0.378,481587,0.025,1.18847610473633,0.094,0.01662004995982,0.00012874101668
732,0.043,0.057,0.088,0.219,0.592,0.811,0.188,1,1,0.119,0.35,0.31,0.221,485493,0.049,0.994151000976562,0.145,0.014494544720521,0.000587032150824
2924,0.02,0.021,0.048,0.17,0.741,0.911,0.089,1,1,0.077,0.239,0.386,0.298,488241,0.047,1.02202758789063,0.092,0.003645740525683,9.01194287247486E-05
856,0.044,0.089,0.136,0.259,0.473,0.732,0.269,2,2,0.085,0.248,0.306,0.361,490161,0.028,1.089375,0.101,0.019603762845269,0.000412109490555
1761,0.023,0.018,0.049,0.191,0.72,0.911,0.09,1,1,0.057,0.202,0.206,0.536,491845,0.028,1.356025390625,0.053,0.014831908426435,0.001685490347569
229,0.022,0.012,0.022,0.149,0.795,0.944,0.056,2,2,0.12,0.188,0.344,0.349,494336,0.027,1.08282455444336,0.072,0.006180007120663,7.48478767477991E-05
1763,0.029,0.015,0.063,0.138,0.756,0.894,0.107,1,1,0.166,0.341,0.212,0.281,501826,0.043,0.886380081176758,0.133,0.035103800919044,0.002474961440818
1751,0.028,0.005,0.027,0.137,0.802,0.939,0.06,1,1,0.116,0.301,0.266,0.318,506471,0.04,0.852913055419922,0.107,0.016563633455815,0.001131357965214
964,0.06,0.055,0.126,0.26,0.499,0.759,0.241,2,2,0.107,0.262,0.322,0.309,516042,0.035,0.967530822753906,0.126,0.008131121110297,7.55752438754985E-05
239,0.032,0.027,0.071,0.185,0.685,0.87,0.13,1,1,0.17,0.284,0.31,0.236,517421,0.029,0.977134780883789,0.093,0.011630761024388,0.000330485233495
1217,0.014,0.017,0.045,0.112,0.812,0.924,0.076,1,1,0.071,0.279,0.283,0.367,521202,0.03,1.05698951721191,0.074,0.017473071860814,0.001364154396952
2950,0.033,0.057,0.08,0.151,0.679,0.83,0.17,2,2,0.063,0.236,0.397,0.304,522798,0.052,0.762335739135742,0.129,0.007293447947391,0.000120505434221
2310,0.049,0.079,0.153,0.206,0.513,0.719,0.281,2,2,0.122,0.247,0.289,0.342,523542,0.024,1.14263664245605,0.107,0.019366163555169,0.000357182422805
2230,0.006,0.022,0.038,0.113,0.82,0.933,0.066,1,1,0.067,0.214,0.2,0.518,524989,0.032,1.61111022949219,0.059,0.009304956865763,0.000664775833398
2072,0.041,0.065,0.065,0.222,0.607,0.829,0.171,2,2,0.099,0.281,0.346,0.274,531687,0.042,0.931861572265625,0.153,0.007466799075396,0.000141060435933
630,0.013,0.026,0.048,0.165,0.748,0.913,0.087,1,1,0.159,0.225,0.284,0.331,532403,0.044,1.21815582275391,0.082,0.017313952025064,0.000559726372691
1903,0.04,0.055,0.117,0.199,0.588,0.787,0.212,2,2,0.109,0.238,0.301,0.353,537174,0.041,0.972677230834961,0.16,0.009618857204556,0.000273654346636
2092,0.048,0.056,0.125,0.207,0.565,0.772,0.229,2,2,0.084,0.306,0.289,0.321,541013,0.043,0.983800048828125,0.142,0.005937010755749,0.000401099419053
2251,0.037,0.013,0.054,0.172,0.724,0.896,0.104,2,2,0.151,0.358,0.221,0.269,545724,0.034,1.06398231506348,0.105,0.010243273156394,0.000745798242335
3025,0.017,0.02,0.092,0.23,0.641,0.871,0.129,2,2,0.044,0.179,0.27,0.507,546695,0.024,1.21270858764648,0.094,0.007521561382489,6.76794190545002E-05
1364,0.044,0.046,0.086,0.259,0.564,0.823,0.176,1,1,0.099,0.209,0.273,0.419,550321,0.03,0.921144790649414,0.124,0.01228919121749,0.000472451532833
230,0.032,0.028,0.062,0.173,0.705,0.878,0.122,2,2,0.217,0.286,0.328,0.169,550660,0.06,0.780386199951172,0.13,0.016454799694912,0.000199760287655
377,0.035,0.066,0.089,0.192,0.618,0.81,0.19,2,2,0.1,0.322,0.342,0.236,553284,0.034,0.904658966064453,0.131,0.012577627402925,0.00020423507638
364,0.027,0.029,0.055,0.179,0.709,0.888,0.111,1,1,0.11,0.331,0.325,0.234,553947,0.035,0.941670303344726,0.113,0.011542620503406,0.000173301777968
1767,0.012,0.011,0.059,0.202,0.716,0.918,0.082,1,1,0.138,0.287,0.224,0.351,556341,0.037,0.932005233764648,0.091,0.03004632051206,0.002421176940042
311,0.027,0.013,0.041,0.133,0.786,0.919,0.081,1,1,0.085,0.306,0.25,0.359,558753,0.037,1.08142379760742,0.104,0.012246914110528,0.00051364377462
1208,0.016,0.02,0.056,0.161,0.747,0.908,0.092,1,1,0.151,0.299,0.27,0.28,565217,0.037,0.815134201049805,0.113,0.016078780362233,0.001102231532314
2238,0.01,0.01,0.044,0.123,0.814,0.937,0.064,1,1,0.072,0.305,0.24,0.383,566747,0.04,1.21003860473633,0.099,0.015474276881924,0.001288052693706
1662,0.091,0.069,0.095,0.263,0.482,0.745,0.255,2,2,0.1,0.213,0.298,0.389,571327,0.033,1.06279029846191,0.102,0.018122721313714,0.000234541689785
1183,0.018,0.022,0.067,0.154,0.739,0.893,0.107,1,1,0.079,0.238,0.274,0.409,579234,0.031,1.1647200012207,0.058,0.011850133106827,0.000374632704572
269,0.028,0.031,0.075,0.194,0.673,0.867,0.134,1,1,0.056,0.206,0.297,0.441,582881,0.025,1.16331192016602,0.072,0.006716636843541,0.000389444843802
2735,0.016,0.033,0.065,0.177,0.708,0.885,0.114,1,1,0.068,0.204,0.317,0.411,590551,0.028,1.44683349609375,0.054,0.009677402967737,0.000133773374357
1205,0.024,0.032,0.063,0.148,0.733,0.881,0.119,1,1,0.151,0.299,0.238,0.312,593490,0.051,0.574534873962402,0.204,0.019242110229322,0.00068914387774
2214,0.006,0.009,0.059,0.169,0.756,0.925,0.074,1,1,0.084,0.175,0.304,0.437,601592,0.031,1.27944145202637,0.082,0.004626058857166,3.82318913815343E-05
318,0.068,0.073,0.096,0.157,0.607,0.764,0.237,2,2,0.08,0.286,0.341,0.293,601942,0.032,0.972701797485352,0.094,0.009171980024654,0.00019104830698
924,0.029,0.019,0.075,0.224,0.654,0.878,0.123,1,1,0.041,0.144,0.262,0.553,602401,0.028,1.4817985534668,0.053,0.008323359356973,0.000162682332865
1762,0.012,0.056,0.055,0.104,0.772,0.876,0.123,1,1,0.082,0.339,0.287,0.292,607186,0.037,0.881577377319336,0.09,0.017304417427279,0.00167164592069
2660,0.031,0.073,0.061,0.145,0.69,0.835,0.165,1,1,0.126,0.223,0.304,0.347,607391,0.034,1.38706207275391,0.089,0.010201007258916,0.000118539787386
1760,0.01,0.022,0.041,0.164,0.764,0.928,0.073,1,1,0.068,0.24,0.242,0.449,618795,0.032,1.19575454711914,0.062,0.016472337365363,0.001386565825516
2224,0.014,0.018,0.032,0.131,0.805,0.936,0.064,1,1,0.061,0.288,0.246,0.405,628270,0.038,1.47485626220703,0.057,0.011076448023939,0.000919986629952
2767,0.068,0.035,0.195,0.244,0.458,0.702,0.298,2,2,0.058,0.163,0.378,0.401,636235,0.024,1.05019485473633,0.097,0.01227219502228,5.50111201049927E-05
2286,0.022,0.014,0.05,0.159,0.754,0.913,0.086,1,1,0.152,0.309,0.259,0.281,638931,0.039,0.883238830566406,0.14,0.022770846930263,0.001264612297729
2175,0.074,0.061,0.141,0.243,0.482,0.725,0.276,2,2,0.108,0.255,0.325,0.312,651552,0.032,1.0591584777832,0.143,0.01379168508423,0.000155014488483
241,0.013,0.026,0.065,0.193,0.703,0.896,0.104,1,1,0.076,0.207,0.295,0.422,656590,0.027,1.06821952819824,0.072,0.01055757778827,0.000552856424862
1260,0.019,0.061,0.063,0.215,0.641,0.856,0.143,2,2,0.097,0.244,0.307,0.352,656955,0.029,1.11824195861816,0.112,0.010824181260513,0.000234414838155
36,0.049,0.037,0.107,0.179,0.628,0.807,0.193,1,1,0.103,0.268,0.306,0.324,658573,0.029,1.04550811767578,0.162,0.01773531559903,0.00034468464392
1756,0.022,0.019,0.077,0.211,0.67,0.881,0.118,1,1,0.158,0.257,0.176,0.409,672391,0.033,0.906185150146484,0.137,0.029247863222441,0.00223233208059
1769,0.036,0.014,0.057,0.135,0.758,0.893,0.107,2,2,0.112,0.232,0.316,0.339,679121,0.044,1.07933334350586,0.155,0.007067959906997,0.000181116472617
684,0.041,0.024,0.062,0.134,0.739,0.873,0.127,1,1,0.091,0.267,0.302,0.34,690743,0.038,1.3039501953125,0.065,0.012308485210853,0.000490775874674
2417,0.02,0.037,0.086,0.181,0.677,0.858,0.143,1,1,0.114,0.227,0.256,0.403,694144,0.025,1.13915107727051,0.126,0.030843744237507,0.000285243407708
634,0.02,0.018,0.046,0.146,0.769,0.915,0.084,1,1,0.094,0.211,0.244,0.45,696535,0.041,1.33846725463867,0.072,0.017159223872454,0.000631698335331
1519,0.027,0.066,0.088,0.21,0.609,0.819,0.181,1,1,0.097,0.284,0.31,0.309,703011,0.037,1.00927230834961,0.137,0.004830649876033,8.39247181054066E-05
313,0.012,0.013,0.069,0.164,0.743,0.907,0.094,1,1,0.094,0.172,0.159,0.576,705749,0.055,1,0.141,0.017293683731752,0.000828906594271
1216,0.02,0.015,0.035,0.125,0.805,0.93,0.07,1,1,0.061,0.195,0.214,0.53,706775,0.025,1.24680282592773,0.058,0.014580311980475,0.001395069152135
260,0.031,0.089,0.081,0.196,0.603,0.799,0.201,2,2,0.063,0.202,0.356,0.379,720403,0.033,0.942558135986328,0.088,0.006432510691932,0.000190171334656
366,0.05,0.063,0.085,0.172,0.63,0.802,0.198,2,2,0.152,0.354,0.294,0.2,724777,0.037,0.875316696166992,0.14,0.017570921814572,0.000371148642962
255,0.02,0.018,0.062,0.194,0.707,0.901,0.1,1,1,0.129,0.17,0.222,0.479,727211,0.027,0.978626251220703,0.121,0.01332900629941,0.000567923202482
1828,0.018,0.012,0.056,0.129,0.785,0.914,0.086,1,1,0.097,0.24,0.287,0.377,741770,0.042,0.862864074707031,0.127,0.006394165307306,0.000358601722906
424,0.036,0.028,0.075,0.156,0.704,0.86,0.139,1,1,0.11,0.208,0.248,0.434,759297,0.034,1.02673126220703,0.129,0.016262411151368,0.000296326733808
413,0.039,0.049,0.116,0.225,0.572,0.797,0.204,1,1,0.082,0.187,0.266,0.465,760141,0.03,1.28526229858398,0.083,0.015044577256062,0.000392032530807
219,0.054,0.019,0.081,0.165,0.68,0.845,0.154,2,2,0.211,0.282,0.322,0.184,762148,0.059,0.851224136352539,0.136,0.015168969806389,0.000220429627841
221,0.016,0.013,0.058,0.126,0.786,0.912,0.087,1,1,0.108,0.15,0.242,0.499,766573,0.02,1.68153381347656,0.061,0.007232187932526,0.000155236357138
1037,0.036,0.048,0.083,0.23,0.602,0.832,0.167,1,1,0.1,0.268,0.304,0.327,766757,0.04,1.12953536987305,0.142,0.009181526872269,0.000323440151182
348,0.052,0.05,0.073,0.176,0.648,0.824,0.175,2,2,0.12,0.308,0.294,0.278,770577,0.031,1.05348152160645,0.112,0.020179683535844,0.000389318653425
1210,0.023,0.01,0.047,0.131,0.788,0.919,0.08,1,1,0.107,0.252,0.247,0.394,789034,0.03,0.971446914672852,0.088,0.021931881262405,0.001498034305239
2158,0.096,0.064,0.097,0.225,0.518,0.743,0.257,1,1,0.128,0.253,0.301,0.318,797434,0.031,1.0335188293457,0.149,0.011554561255226,0.000122894183092
1754,0.035,0.014,0.085,0.183,0.682,0.865,0.134,1,1,0.143,0.281,0.228,0.348,798975,0.045,0.752127380371094,0.138,0.024716668231171,0.002630870803217
1218,0.02,0.007,0.049,0.136,0.788,0.924,0.076,1,1,0.145,0.224,0.183,0.448,803907,0.026,0.884982528686523,0.167,0.02646947967862,0.00131482870531
2571,0.024,0.03,0.057,0.115,0.774,0.889,0.111,1,1,0.098,0.177,0.263,0.461,811688,0.035,1.5826774597168,0.066,0.008859315401977,0.000178640068598
2206,0.013,0.016,0.054,0.178,0.738,0.916,0.083,1,1,0.087,0.173,0.295,0.445,812855,0.033,1.08235382080078,0.12,0.005416710237373,0.000115641781129
2046,0.069,0.056,0.102,0.224,0.549,0.773,0.227,1,1,0.09,0.264,0.275,0.371,817473,0.038,1.0263525390625,0.146,0.011068255465318,0.000300927370078
2949,0.017,0.014,0.056,0.191,0.721,0.912,0.087,1,1,0.078,0.238,0.366,0.319,822083,0.03,1.13276306152344,0.07,0.006983479770291,0.000243284437216
1759,0.02,0.016,0.054,0.146,0.765,0.911,0.09,1,1,0.102,0.257,0.214,0.427,825062,0.031,1.08141189575195,0.085,0.02170261144011,0.001701690297214
1184,0.013,0.024,0.043,0.142,0.777,0.919,0.08,1,1,0.089,0.262,0.263,0.386,827370,0.037,0.888370819091797,0.089,0.014526753447672,0.000663548352007
1219,0.02,0.027,0.043,0.142,0.768,0.91,0.09,2,2,0.096,0.281,0.263,0.359,830622,0.031,0.907759628295898,0.094,0.016103594655571,0.00119308181098
2261,0.016,0.019,0.044,0.16,0.761,0.921,0.079,1,1,0.058,0.238,0.217,0.487,830915,0.035,1.45520446777344,0.06,0.011809872249267,0.001022968655037
2563,0.007,0.007,0.033,0.075,0.877,0.952,0.047,2,2,0.225,0.239,0.309,0.228,839238,0.038,0.759306106567383,0.188,0.017170337854101,0.000320528860705
236,0.024,0.011,0.033,0.156,0.777,0.933,0.068,2,2,0.156,0.189,0.324,0.331,846006,0.036,1.13706275939941,0.082,0.008890007872285,8.98338782467264E-05
306,0.023,0.014,0.053,0.115,0.795,0.91,0.09,2,2,0.099,0.309,0.243,0.349,854757,0.039,0.883008117675781,0.12,0.015256967769787,0.001288085385671
2600,0.055,0.003,0.033,0.084,0.826,0.91,0.091,2,2,0.355,0.232,0.229,0.184,868707,0.062,0.650427856445313,0.269,0.01957622075107,0.000741331657279
1269,0.034,0.043,0.09,0.145,0.688,0.833,0.167,1,1,0.103,0.297,0.354,0.245,873972,0.042,1.09289001464844,0.086,0.01122003908592,0.001076693532516
218,0.017,0.011,0.035,0.121,0.817,0.938,0.063,1,1,0.115,0.123,0.191,0.571,881549,0.022,1.51442993164063,0.095,0.007629751721118,6.91963804621184E-05
2553,0.016,0.025,0.046,0.204,0.709,0.913,0.087,1,1,0.075,0.181,0.299,0.445,887207,0.03,1.41949279785156,0.065,0.007770452667754,8.34078180176667E-05
303,0.015,0.023,0.065,0.13,0.767,0.897,0.103,1,1,0.105,0.269,0.249,0.378,891720,0.039,0.954586944580078,0.108,0.014180460234154,0.001583456690441
195,0.022,0.028,0.105,0.177,0.668,0.845,0.155,2,2,0.262,0.277,0.3,0.161,900202,0.077,0.66206184387207,0.19,0.022284998255947,0.000159964096947
2945,0.028,0.057,0.103,0.206,0.606,0.812,0.188,1,1,0.087,0.275,0.374,0.264,904980,0.051,1.00133460998535,0.094,0.006024442529117,0.000149174567394
1197,0.087,0.034,0.064,0.094,0.72,0.814,0.185,1,1,0.135,0.257,0.282,0.327,909327,0.038,0.985146102905273,0.087,0.02535611501693,0.000814888373489
1815,0.018,0.014,0.04,0.161,0.766,0.927,0.072,1,1,0.086,0.277,0.3,0.337,918702,0.043,0.84150032043457,0.133,0.009304431687315,0.000675953682478
607,0.01,0.01,0.056,0.163,0.76,0.923,0.076,1,1,0.074,0.183,0.255,0.488,922921,0.029,1.39215744018555,0.06,0.012330416146127,0.000552593342225
1749,0.02,0.014,0.053,0.151,0.762,0.913,0.087,1,1,0.078,0.235,0.205,0.483,932202,0.029,1.25860862731934,0.057,0.022258051366549,0.00218836689902
447,0.036,0.054,0.081,0.19,0.639,0.829,0.171,1,1,0.123,0.228,0.288,0.361,936250,0.03,1.16585952758789,0.092,0.018703337783712,0.000256341789052
2477,0.034,0.025,0.105,0.184,0.653,0.837,0.164,1,1,0.118,0.275,0.295,0.311,937166,0.04,0.939550704956055,0.172,0.022899891801453,0.000303041296846
302,0.027,0.019,0.06,0.114,0.78,0.894,0.106,2,2,0.101,0.217,0.209,0.474,943332,0.036,1.22866195678711,0.09,0.018861864115709,0.001490461470617
3053,0.053,0.067,0.119,0.264,0.497,0.761,0.239,1,1,0.122,0.282,0.291,0.305,945726,0.04,0.833709869384766,0.169,0.020639170330519,0.000471595366946
328,0.049,0.042,0.086,0.194,0.629,0.823,0.177,1,1,0.105,0.279,0.325,0.292,957755,0.033,0.985489349365234,0.135,0.022262478400008,0.000163925012138
736,0.051,0.053,0.116,0.232,0.548,0.78,0.22,1,1,0.143,0.28,0.273,0.304,964582,0.033,0.880070114135742,0.152,0.015261532974905,0.000794126367691
1860,0.025,0.018,0.044,0.115,0.798,0.913,0.087,1,1,0.122,0.196,0.2,0.482,967506,0.038,1.41232406616211,0.084,0.037181164767971,0.001630997637224
541,0.011,0.012,0.027,0.151,0.798,0.949,0.05,2,2,0.083,0.262,0.311,0.343,974563,0.026,1.03835960388184,0.079,0.001890077911844,1.94959176574526E-05
365,0.025,0.019,0.074,0.133,0.75,0.883,0.118,1,1,0.089,0.283,0.319,0.31,974996,0.03,0.957937774658203,0.114,0.017029813455645,0.000448206967003
1567,0.024,0.028,0.069,0.182,0.697,0.879,0.121,1,1,0.067,0.212,0.289,0.432,994205,0.031,1.22284965515137,0.093,0.013238718372971,0.000653788705549
190,0.021,0.022,0.059,0.156,0.741,0.897,0.102,2,2,0.247,0.229,0.317,0.207,999101,0.072,0.707832336425781,0.205,0.015096571818065,0.000138124173632
2535,0.021,0.026,0.054,0.181,0.719,0.9,0.101,1,1,0.063,0.148,0.271,0.517,1034730,0.031,1.51219467163086,0.061,0.006185188406637,8.02141621485798E-05
101,0.023,0.024,0.073,0.121,0.759,0.88,0.12,2,2,0.117,0.225,0.34,0.319,1047279,0.044,0.905250930786133,0.14,0.015731242581967,0.000441143191069
1196,0.025,0.029,0.041,0.128,0.777,0.905,0.095,1,1,0.087,0.133,0.189,0.59,1050688,0.029,1.2697013092041,0.073,0.01684991167692,0.000750936529208
440,0.026,0.036,0.089,0.187,0.662,0.849,0.151,1,1,0.079,0.183,0.224,0.514,1063937,0.035,1.2790153503418,0.138,0.016784828424991,0.000374082299986
1922,0.029,0.037,0.075,0.166,0.694,0.86,0.141,1,1,0.099,0.174,0.279,0.448,1110356,0.036,1.21027046203613,0.103,0.018623756705057,0.00019363159203
1954,0.015,0.02,0.07,0.168,0.727,0.895,0.105,1,1,0.073,0.154,0.255,0.518,1111761,0.033,1.47028991699219,0.08,0.009927493409105,0.000118730554499
2814,0.018,0.016,0.054,0.163,0.748,0.911,0.088,1,1,0.079,0.128,0.182,0.611,1147532,0.023,1.67250335693359,0.06,0.013671949888979,0.000454889275419
187,0.018,0.016,0.039,0.121,0.806,0.927,0.073,1,1,0.106,0.176,0.301,0.417,1153526,0.031,1.32493194580078,0.079,0.006767077638475,0.000104895771747
2760,0.028,0.032,0.094,0.202,0.644,0.846,0.154,1,1,0.096,0.228,0.332,0.345,1160437,0.025,1.05595405578613,0.09,0.01665148560413,0.000152528745636
2217,0.017,0.022,0.035,0.165,0.761,0.926,0.074,1,1,0.057,0.278,0.258,0.407,1216045,0.041,1.02118034362793,0.108,0.006710277991357,0.000197361117393
