,Never,Rarely,Sometimes,Frequently,Always,Rural Code,Urban Code,Per Less than HS,Per Only HS,Per Some College,Per Bachelors or Higher,Population,Unemployment Rate,Per of Median HH Income,Per in Poverty,Per of Cases,Per of Deaths
2845,0.056,0.042,0.09,0.171,0.64,3.0,2.0,0.075,0.222,0.245,0.45799999999999996,98535,0.027999999999999997,0.7681343078613281,0.205,0.0027908864870350636,3.0446034404018876e-05
2846,0.011,0.015,0.106,0.167,0.701,3.0,2.0,0.14400000000000002,0.315,0.221,0.321,14930,0.027999999999999997,0.7297406768798829,0.11800000000000001,0.0021433355659745477,0.0
2847,0.008,0.035,0.079,0.17,0.708,1.0,1.0,0.07200000000000001,0.33,0.313,0.284,23091,0.024,1.34193359375,0.05,0.005023602269282405,4.330691611450349e-05
2848,0.001,0.037,0.089,0.112,0.761,8.0,4.0,0.17800000000000002,0.359,0.247,0.21600000000000003,11710,0.044000000000000004,0.5915314483642579,0.18100000000000002,0.02493595217762596,0.0023911187019641333
2849,0.017,0.038,0.095,0.141,0.71,9.0,12.0,0.094,0.324,0.297,0.285,12095,0.043,0.789645767211914,0.127,0.005374121537825548,0.00016535758577924763
2850,0.044,0.014,0.099,0.182,0.661,6.0,4.0,0.218,0.379,0.275,0.127,15232,0.027999999999999997,0.6003975296020507,0.215,0.011423319327731092,0.0005908613445378151
2851,0.033,0.132,0.038,0.153,0.643,6.0,4.0,0.11599999999999999,0.349,0.293,0.243,37051,0.03,0.93749267578125,0.09699999999999999,0.005667863215567731,8.096947450811045e-05
2852,0.025,0.052,0.237,0.166,0.52,6.0,4.0,0.18600000000000003,0.44299999999999995,0.23199999999999998,0.139,23902,0.038,0.6914647674560547,0.113,0.013848213538616016,0.0010041000753075056
2853,0.042,0.098,0.166,0.203,0.491,8.0,7.0,0.20600000000000002,0.349,0.306,0.139,17608,0.035,0.5697323226928711,0.155,0.006303952748750568,0.00017037710131758292
2854,0.106,0.045,0.147,0.135,0.567,4.0,5.0,0.18,0.353,0.32799999999999996,0.139,60354,0.034,0.6758379364013671,0.151,0.005451171421943865,3.3137820194187624e-05
2855,0.012,0.092,0.074,0.162,0.66,1.0,1.0,0.098,0.303,0.311,0.28800000000000003,29652,0.025,1.233055648803711,0.054000000000000006,0.00411439363280723,0.00013489815189531904
2856,0.059,0.009,0.138,0.154,0.64,6.0,4.0,0.133,0.327,0.258,0.281,22802,0.038,0.583044548034668,0.20600000000000002,0.0149548285238137,0.0004385580212262082
2857,0.033,0.033,0.127,0.189,0.619,1.0,1.0,0.1,0.326,0.33299999999999996,0.24,38353,0.034,0.9744609069824218,0.083,0.008656428441060673,5.214715928349803e-05
2858,0.047,0.027,0.055,0.11,0.761,1.0,1.0,0.115,0.207,0.27699999999999997,0.401,470335,0.025,1.3888664245605469,0.061,0.018907799759745714,0.0003656967905854338
2859,0.083,0.055,0.166,0.173,0.523,3.0,2.0,0.138,0.327,0.341,0.19399999999999998,34027,0.034,0.7072746276855468,0.146,0.0021747435859758428,8.816528051253416e-05
2860,0.023,0.019,0.077,0.164,0.717,1.0,1.0,0.11,0.287,0.273,0.32899999999999996,7370,0.025,1.0341959381103516,0.085,0.005427408412483039,0.000271370420624152
2861,0.015,0.07,0.109,0.167,0.64,9.0,12.0,0.17600000000000002,0.38799999999999996,0.27899999999999997,0.157,9023,0.03,0.6506780242919922,0.17800000000000002,0.035243267206029036,0.0004433115371827552
2862,0.065,0.045,0.077,0.205,0.607,2.0,2.0,0.078,0.255,0.319,0.348,94186,0.025,0.9381595611572265,0.065,0.004639755377656977,7.43210243560614e-05
2863,0.015,0.112,0.068,0.13,0.675,6.0,6.0,0.135,0.335,0.265,0.265,22573,0.027000000000000003,0.7650089263916016,0.115,0.0029238470739378903,0.0
