,Never,Rarely,Sometimes,Frequently,Always,Always-Freq,Never-Rare-Some,Rural Code,Urban Code,Per Less than HS,Per Only HS,Per Some College,Per Bachelors or Higher,Population,Unemployment Rate,Per of Median HH Income,Per in Poverty,Per of Cases,Per of Deaths
2754,0.335,0.023,0.079,0.193,0.369,0.562,0.437,2,2,0.078,0.373,0.379,0.171,12017,0.025,0.872544708251953,0.09,0.005242573021553,8.32154447865524E-05
2684,0.059,0.136,0.098,0.254,0.452,0.706,0.293,6,6,0.155,0.402,0.317,0.126,12023,0.046,0.645259475708008,0.196,0.011145304832405,0.000914913083257
519,0.076,0.096,0.098,0.199,0.531,0.73,0.27,9,12,0.108,0.308,0.322,0.262,12037,0.048,0.79133171081543,0.127,0.00922156683559,8.30771786990114E-05
17,0.099,0.052,0.259,0.192,0.399,0.591,0.41,7,11,0.192,0.488,0.213,0.107,12067,0.04,0.802360382080078,0.222,0.0312422308776,0.000828706389326
2948,0.019,0.048,0.092,0.08,0.76,0.84,0.159,1,1,0.086,0.31,0.366,0.238,12083,0.055,0.879108734130859,0.104,0.004303566994952,8.27609037490689E-05
1533,0.082,0.124,0.092,0.296,0.406,0.702,0.298,6,6,0.178,0.344,0.326,0.151,12088,0.034,0.765472793579102,0.167,0.001406353408339,0
1096,0.035,0.066,0.116,0.221,0.562,0.783,0.217,9,9,0.167,0.42,0.235,0.177,12095,0.039,0.981437530517578,0.144,0.004878048780488,0
2849,0.017,0.038,0.095,0.141,0.71,0.851,0.15,9,12,0.094,0.324,0.297,0.285,12095,0.043,0.789645767211914,0.127,0.005374121537826,0.000165357585779
1470,0.029,0.108,0.121,0.217,0.523,0.74,0.258,7,9,0.169,0.385,0.305,0.142,12108,0.057,0.882141647338867,0.244,0.025768087215065,0.000825900231252
1626,0.15,0.204,0.191,0.172,0.283,0.455,0.545,8,7,0.107,0.427,0.295,0.171,12113,0.059,0.78942497253418,0.167,0.000743003384793,0
2757,0.092,0.155,0.053,0.37,0.33,0.7,0.3,2,2,0.024,0.177,0.404,0.395,12124,0.024,1.34658218383789,0.04,0.00354668426262,0
331,0.022,0.101,0.237,0.228,0.412,0.64,0.36,6,6,0.197,0.357,0.274,0.171,12125,0.035,0.802459564208984,0.192,0.009567010309278,0.000164948453608
1480,0.097,0.152,0.132,0.268,0.35,0.618,0.381,3,2,0.206,0.465,0.235,0.094,12133,0.039,0.799442291259766,0.145,0.004615511415149,0
582,0.099,0.189,0.19,0.25,0.272,0.522,0.478,9,8,0.071,0.162,0.352,0.415,12142,0.022,1.21053756713867,0.077,0.004776807774666,0
594,0.103,0.08,0.19,0.187,0.441,0.628,0.373,6,6,0.16,0.432,0.262,0.146,12147,0.041,0.737025375366211,0.13,0.01630032106693,0.000905573392607
1012,0.055,0.057,0.086,0.179,0.624,0.803,0.198,3,2,0.21,0.42,0.263,0.108,12150,0.049,0.908642044067383,0.16,0.007736625514403,0.000987654320988
1058,0.107,0.078,0.111,0.164,0.54,0.704,0.296,9,12,0.309,0.327,0.268,0.097,12161,0.11,0.613231010437012,0.294,0.0015623715155,0
288,0.079,0.046,0.205,0.201,0.469,0.67,0.33,7,11,0.179,0.259,0.388,0.174,12172,0.026,0.610227737426758,0.182,0.003943476832074,0
650,0.102,0.047,0.138,0.172,0.54,0.712,0.287,3,2,0.066,0.367,0.336,0.231,12196,0.038,1.1169450378418,0.082,0.003689734339128,0
2840,0.068,0.006,0.134,0.143,0.649,0.792,0.208,9,12,0.224,0.398,0.273,0.106,12196,0.032,0.586627616882324,0.192,0.004509675303378,8.19940964250574E-05
2640,0.005,0.003,0.081,0.189,0.722,0.911,0.089,8,7,0.208,0.345,0.316,0.132,12207,0.031,0.845715408325195,0.165,0.016957483411158,8.19202097157369E-05
1607,0.158,0.111,0.076,0.169,0.487,0.656,0.345,9,8,0.052,0.285,0.323,0.34,12221,0.033,1.2389778137207,0.08,0.002045659111366,0
1338,0.159,0.183,0.087,0.255,0.316,0.571,0.429,6,6,0.077,0.36,0.387,0.176,12229,0.064,0.705027542114258,0.13,0.005724098454493,0.000245318505193
817,0.038,0.042,0.203,0.238,0.48,0.718,0.283,3,2,0.058,0.308,0.353,0.28,12232,0.028,1.19214653015137,0.055,0.005886200130804,8.17527795945062E-05
867,0.03,0.125,0.172,0.21,0.462,0.672,0.327,6,6,0.098,0.363,0.368,0.172,12241,0.032,0.856116638183594,0.121,0.005718487051711,8.16926721673066E-05
554,0.045,0.171,0.061,0.185,0.537,0.722,0.277,7,9,0.08,0.411,0.319,0.19,12245,0.044,0.833618316650391,0.148,0.002776643527971,0
146,0.074,0.121,0.106,0.201,0.499,0.7,0.301,3,2,0.118,0.427,0.34,0.114,12259,0.043,0.882435760498047,0.178,0.012399053756424,8.15727220817359E-05
2449,0.098,0.084,0.198,0.236,0.385,0.621,0.38,6,4,0.154,0.413,0.318,0.115,12268,0.04,0.818491592407227,0.152,0.004157156830779,8.15128790348875E-05
2907,0.004,0.014,0.073,0.219,0.69,0.909,0.091,1,1,0.04,0.26,0.272,0.428,12271,0.024,1.28436920166016,0.053,0.002933746230951,0
233,0.081,0.07,0.055,0.201,0.592,0.793,0.206,8,6,0.094,0.334,0.376,0.197,12285,0.055,0.545627479553223,0.165,0.0004884004884,0
