0.053,0.074,0.134,0.295,0.444,2,2,0.113,0.326,0.284,0.277,0.55869,0.027,1.124818878,0.121,0.018435984,0.000375879
0.083,0.059,0.098,0.323,0.436,3,2,0.097,0.276,0.313,0.313,2.23234,0.027,1.156458282,0.101,0.014074917,0.0000986
0.067,0.121,0.12,0.201,0.491,6,6,0.27,0.357,0.251,0.122,0.24686,0.038,0.694829178,0.271,0.024386292,0.000202544
0.02,0.034,0.096,0.278,0.572,1,1,0.168,0.473,0.244,0.115,0.22394,0.031,0.925576096,0.203,0.016432973,0.0000893
0.053,0.114,0.18,0.194,0.459,1,1,0.198,0.34,0.335,0.126,0.57826,0.027,1.021846237,0.163,0.013696261,0.0000519
0.031,0.04,0.144,0.286,0.5,6,6,0.248,0.397,0.223,0.133,0.10101,0.036,0.61629097,0.3,0.043857044,0.001188001
0.102,0.053,0.257,0.137,0.451,6,6,0.154,0.439,0.246,0.161,0.19448,0.036,0.771551666,0.216,0.038924311,0.00185109
0.152,0.108,0.13,0.167,0.442,3,2,0.159,0.324,0.337,0.18,1.13605,0.035,0.922273102,0.172,0.013027596,0.0000792
0.117,0.037,0.15,0.136,0.56,6,5,0.186,0.384,0.297,0.132,0.33254,0.029,0.811554718,0.196,0.025891622,0.00114272
0.135,0.027,0.161,0.158,0.52,6,6,0.198,0.383,0.29,0.129,0.26196,0.029,0.888180618,0.159,0.009276225,0.00030539
0.06,0.07,0.058,0.194,0.618,1,1,0.178,0.441,0.24,0.142,0.44428,0.027,0.959842377,0.16,0.016048438,0.00013505
0.049,0.038,0.126,0.219,0.568,9,10,0.186,0.382,0.302,0.13,0.12589,0.047,0.768924713,0.226,0.021923902,0.000953213
0.049,0.088,0.164,0.268,0.43,7,11,0.188,0.437,0.249,0.126,0.23622,0.058,0.846458435,0.184,0.021124376,0.000381001
0.148,0.158,0.195,0.169,0.329,9,10,0.245,0.363,0.291,0.102,0.13235,0.03,0.783488846,0.166,0.015413676,0.000377786
0.151,0.125,0.138,0.217,0.368,8,4,0.226,0.396,0.241,0.137,0.1491,0.032,0.99043869,0.133,0.007578806,0.0000671
0.101,0.152,0.094,0.186,0.466,4,5,0.138,0.279,0.349,0.234,0.52342,0.029,1.106777954,0.15,0.013755684,0.0000955
0.082,0.096,0.152,0.159,0.51,3,2,0.156,0.36,0.297,0.187,0.55241,0.037,0.901721039,0.146,0.019315364,0.000199127
0.099,0.052,0.259,0.192,0.399,7,11,0.192,0.488,0.213,0.107,0.12067,0.04,0.802360382,0.222,0.031242231,0.000828706
0.055,0.131,0.167,0.263,0.384,8,3,0.204,0.386,0.295,0.116,0.10663,0.03,0.811728592,0.171,0.009003095,0.000187564
0.187,0.128,0.129,0.201,0.356,6,6,0.171,0.354,0.325,0.149,0.37049,0.034,0.866044693,0.172,0.021242139,0.000566817
0.06,0.091,0.199,0.233,0.416,8,6,0.216,0.388,0.24,0.156,0.13772,0.028,0.836549454,0.168,0.021347662,0.000290444
0.13,0.024,0.249,0.217,0.379,4,3,0.182,0.356,0.324,0.137,0.83768,0.026,0.983117981,0.122,0.013776144,0.000131315
0.089,0.113,0.118,0.22,0.46,4,5,0.142,0.327,0.361,0.17,0.49172,0.031,0.87153038,0.181,0.015883023,0.000366062
0.095,0.1,0.159,0.122,0.524,4,5,0.193,0.352,0.304,0.151,0.37196,0.055,0.657395096,0.26,0.03597161,0.000618346
0.084,0.051,0.106,0.179,0.58,6,6,0.259,0.333,0.281,0.127,0.71513,0.028,0.855247116,0.182,0.023548166,0.000167802
